"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.138405770E-1,9.510664940E-1,-1.109145355E1,9.234132767E-1
4.186645360E-1,8.352739811E-1,-1.058354855E1,1.166348457E0
4.234884420E-1,4.061373472E-1,-1.036966419E1,1.231134415E0
4.283124000E-1,1.834107637E-1,-1.034485054E1,1.031015396E0
4.331363070E-1,-8.721530437E-2,-1.031066227E1,9.313907623E-1
4.379602650E-1,-1.903052330E-1,-1.030297279E1,8.224620819E-1
4.427841710E-1,-2.864418030E-1,-1.020088577E1,7.066926956E-1
4.476080770E-1,-5.178081989E-1,-1.001517487E1,6.906890869E-1
4.524320360E-1,-6.217756271E-1,-9.983056068E0,4.584474564E-1
4.572559420E-1,-7.138937116E-1,-9.995794296E0,-4.022216797E-2
4.620799000E-1,-6.545699239E-1,-1.007647610E1,-1.004581451E-1
4.669038070E-1,-4.509724379E-1,-1.029250717E1,-1.063928604E-1
4.717277130E-1,-5.014085770E-1,-1.051163578E1,-2.768306732E-1
4.765516710E-1,-1.062026858E0,-1.057720089E1,-5.843610764E-1
4.813755250E-1,-1.391871452E0,-1.056406689E1,-7.676305771E-1
4.861995360E-1,-1.066234350E0,-1.072369289E1,-8.426227570E-1
4.910234420E-1,-1.118425608E0,-1.088995075E1,-8.391809464E-1
4.958474000E-1,-1.360575795E0,-1.103362465E1,-9.027004242E-1
5.006713070E-1,-1.632822037E0,-1.097453117E1,-1.167486191E0
5.054952650E-1,-1.566381574E0,-1.093959332E1,-1.228895187E0
5.103191710E-1,-1.341121197E0,-1.098269844E1,-1.053541183E0
5.151430770E-1,-1.225850344E0,-1.100559521E1,-9.754562378E-1
5.199670360E-1,-1.344415545E0,-1.091589451E1,-1.221055984E0
5.247909420E-1,-1.492469430E0,-1.083810139E1,-1.344115257E0
5.296149000E-1,-1.471048117E0,-1.048582649E1,-1.220300674E0
5.344388070E-1,-1.411669016E0,-1.028394127E1,-1.273787498E0
5.392627130E-1,-1.462264299E0,-1.011491394E1,-1.275349617E0
5.440866710E-1,-1.557768226E0,-9.893712997E0,-1.268054008E0
5.489105770E-1,-1.520478249E0,-9.623764992E0,-1.183185577E0
5.537345360E-1,-1.397642732E0,-9.258877754E0,-9.858646393E-1
5.585584420E-1,-1.283088684E0,-8.885875702E0,-8.121709824E-1
5.633824000E-1,-1.200133324E0,-8.607266426E0,-7.210149765E-1
5.682063070E-1,-1.083644748E0,-8.448822021E0,-5.549936295E-1
5.730302130E-1,-8.666486740E-1,-8.000186920E0,-1.984319687E-1
5.778541710E-1,-8.485609889E-1,-7.658376694E0,-5.830764771E-2
5.826780770E-1,-6.908284426E-1,-7.515494347E0,3.107738495E-2
5.875020360E-1,-6.134361029E-1,-7.361820698E0,1.793870926E-1
5.923259420E-1,-4.855415225E-1,-7.110387325E0,2.936325073E-1
5.971499000E-1,-2.729547620E-1,-7.172837257E0,-3.188133240E-3
6.019738070E-1,-9.674911201E-2,-7.115285397E0,-7.667827606E-2
6.067977130E-1,5.985122174E-2,-7.112369537E0,4.264068604E-2
6.116216710E-1,1.414986849E-1,-7.237533569E0,-2.140512466E-1
6.164455770E-1,1.862725616E-1,-7.318977833E0,-3.240537643E-1
6.212695360E-1,2.332823873E-1,-7.452228069E0,-4.048833847E-1
6.260934420E-1,3.089112639E-1,-7.523040771E0,-5.824851990E-1
6.309173480E-1,4.034321904E-1,-7.607927322E0,-5.165319443E-1
6.357413070E-1,4.216735661E-1,-7.749482155E0,-5.030260086E-1
6.405652130E-1,3.801677525E-1,-8.058477402E0,-7.025814056E-1
6.453891710E-1,3.282576799E-1,-8.206015587E0,-6.455049515E-1
6.502130770E-1,2.577978373E-1,-8.290805817E0,-3.761367798E-1
6.550370360E-1,2.542219162E-1,-8.659513474E0,-4.678936005E-1
6.598609420E-1,4.916923046E-1,-8.747549057E0,-3.433132172E-1
6.646848480E-1,5.204306841E-1,-9.015225410E0,9.320926666E-2
6.695088070E-1,3.442623019E-1,-9.090644836E0,1.078662872E-1
6.743327130E-1,2.105611563E-1,-9.070323944E0,1.783971786E-1
6.791566710E-1,2.992613316E-1,-9.128616333E0,4.103946686E-1
6.839805770E-1,4.139837027E-1,-9.044040680E0,2.343835831E-1
6.888044840E-1,3.371313810E-1,-9.048080444E0,1.254310608E-1
6.936284420E-1,4.669003487E-1,-9.102098465E0,4.808282852E-1
6.984523480E-1,5.265574455E-1,-9.046644211E0,4.174442291E-1
7.032763070E-1,3.837120533E-1,-8.842327118E0,1.493053436E-1
7.081002130E-1,3.636507988E-1,-8.645009041E0,3.779592514E-1
7.129241710E-1,3.347001076E-1,-8.350439072E0,5.270357132E-1
7.177480770E-1,2.721025944E-1,-7.957413673E0,6.495199203E-1
7.225719840E-1,2.390811443E-1,-7.713927269E0,8.575763702E-1
