"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.437930250E-1,-3.901898861E-1,-3.445277214E-1,1.225914001E1
2.462050040E-1,-4.158461988E-1,-4.850266278E-1,1.225669670E1
2.486169320E-1,-4.366155863E-1,-6.145299673E-1,1.225058746E1
2.510289110E-1,-4.537198246E-1,-7.391464114E-1,1.224692249E1
2.534408900E-1,-4.647153914E-1,-8.503237963E-1,1.224570084E1
2.558528170E-1,-4.720457494E-1,-9.578359723E-1,1.224447918E1
2.582647960E-1,-4.769326746E-1,-1.055574298E0,1.224325752E1
2.606767750E-1,-4.757109582E-1,-1.137430191E0,1.224203587E1
2.630887540E-1,-4.708240330E-1,-1.204625368E0,1.224081421E1
2.655006820E-1,-4.634936452E-1,-1.265711784E0,1.223959255E1
2.679126610E-1,-4.549415410E-1,-1.324354887E0,1.223714828E1
2.703246400E-1,-4.439459741E-1,-1.392771721E0,1.223592663E1
2.727365670E-1,-4.280634820E-1,-1.462410331E0,1.223837090E1
2.751485460E-1,-4.085158110E-1,-1.527161956E0,1.223959255E1
2.775605250E-1,-3.853029609E-1,-1.584583282E0,1.223959255E1
2.799724520E-1,-3.596466482E-1,-1.626121998E0,1.224081421E1
2.823844320E-1,-3.315468729E-1,-1.643226266E0,1.224203587E1
2.847964110E-1,-3.010036349E-1,-1.642004490E0,1.224447918E1
2.872083900E-1,-2.680169344E-1,-1.624900341E0,1.224447918E1
2.896203170E-1,-2.325867712E-1,-1.602909207E0,1.224325752E1
2.920322960E-1,-2.008218020E-1,-1.571144223E0,1.224447918E1
2.944442750E-1,-1.690568328E-1,-1.528383732E0,1.224570084E1
2.968562020E-1,-1.385135949E-1,-1.475849271E0,1.224325752E1
2.992681820E-1,-1.091920808E-1,-1.397658587E0,1.223959255E1
3.016801610E-1,-7.987056673E-2,-1.287702918E0,1.223837090E1
3.040921400E-1,-5.299251899E-2,-1.156977892E0,1.223348331E1
3.065040670E-1,-3.344484791E-2,-1.015257239E0,1.223226166E1
3.089160460E-1,-1.878409274E-2,-8.613193631E-1,1.222859669E1
3.113280250E-1,-1.145371422E-2,-7.024945021E-1,1.222493172E1
3.137400040E-1,-5.345067009E-3,-5.400044918E-1,1.222126579E1
3.161519320E-1,-7.788525894E-3,-3.824013472E-1,1.221882248E1
3.185639110E-1,-1.389717404E-2,-2.272416949E-1,1.221760082E1
3.209758900E-1,-2.855792828E-2,-7.574722916E-2,1.221515751E1
3.233878170E-1,-4.932733253E-2,6.841685623E-2,1.221760082E1
3.257997960E-1,-7.376192510E-2,2.101374865E-1,1.221760082E1
3.282117750E-1,-1.030834317E-1,3.494146466E-1,1.221760082E1
3.306237020E-1,-1.385135949E-1,4.667007029E-1,1.221760082E1
3.330356820E-1,-1.763872057E-1,5.668824911E-1,1.222004414E1
3.354476610E-1,-2.191477418E-1,6.658425927E-1,1.222126579E1
3.378596400E-1,-2.606865466E-1,7.599157691E-1,1.222371006E1
3.402715670E-1,-3.071122766E-1,8.491020203E-1,1.222371006E1
3.426835460E-1,-3.559814394E-1,9.260709882E-1,1.222615337E1
3.450955250E-1,-4.060723484E-1,9.981530309E-1,1.222737503E1
3.475074520E-1,-4.549415410E-1,1.069013357E0,1.222737503E1
3.499194320E-1,-5.074759126E-1,1.126434684E0,1.222859669E1
3.523314110E-1,-5.612320304E-1,1.175303817E0,1.222859669E1
3.547433900E-1,-6.186532974E-1,1.204625368E0,1.222615337E1
3.571553170E-1,-6.748528481E-1,1.222951293E0,1.222615337E1
3.595672960E-1,-7.359393239E-1,1.235168576E0,1.222493172E1
3.619792750E-1,-7.933606505E-1,1.225394726E0,1.222248840E1
3.643912020E-1,-8.507819176E-1,1.183855891E0,1.221882248E1
3.668031820E-1,-8.996511102E-1,1.126434684E0,1.221393585E1
3.692151610E-1,-9.448550940E-1,1.061682940E0,1.221271420E1
3.716271400E-1,-9.851721525E-1,9.761618972E-1,1.220904922E1
3.740390670E-1,-1.023045778E0,8.772017956E-1,1.220416164E1
3.764510460E-1,-1.058475971E0,7.696896195E-1,1.220049667E1
3.788630250E-1,-1.089019179E0,6.548470259E-1,1.219683170E1
3.812750040E-1,-1.113453746E0,5.290089250E-1,1.219194508E1
3.836869320E-1,-1.136666656E0,3.970620930E-1,1.218827915E1
3.860989110E-1,-1.152549148E0,2.504545450E-1,1.218217087E1
3.885108900E-1,-1.162322998E0,9.285144508E-2,1.217972755E1
3.909228170E-1,-1.162322998E0,-7.208204269E-2,1.217850590E1
3.933347960E-1,-1.158657789E0,-2.357937992E-1,1.217484093E1
3.957467750E-1,-1.151327372E0,-3.982838392E-1,1.217361832E1
3.981587020E-1,-1.135444880E0,-5.607738495E-1,1.216995335E1
4.005706820E-1,-1.109788537E0,-7.269290686E-1,1.216995335E1
4.029826610E-1,-1.075580120E0,-8.906408548E-1,1.216873169E1
4.053946400E-1,-1.032819629E0,-1.050687432E0,1.216995335E1
4.078065670E-1,-9.815070033E-1,-1.205847025E0,1.217117500E1
4.102185460E-1,-9.216422439E-1,-1.357341528E0,1.217361832E1
4.126305250E-1,-8.507819176E-1,-1.505170822E0,1.217728424E1
4.150424520E-1,-7.725912333E-1,-1.645669699E0,1.217972755E1
4.174544320E-1,-6.834049821E-1,-1.764177442E0,1.218461418E1
4.198664110E-1,-5.881100893E-1,-1.864359260E0,1.218827915E1
4.222783900E-1,-4.915934205E-1,-1.936441302E0,1.219438839E1
4.246903170E-1,-3.926333487E-1,-1.988975763E0,1.219805336E1
4.271022960E-1,-2.924515009E-1,-2.029292822E0,1.220171833E1
4.295142750E-1,-1.934914142E-1,-2.054949045E0,1.220538330E1
4.319262020E-1,-9.453132749E-2,-2.056170940E0,1.220782757E1
4.343381820E-1,3.207040019E-3,-2.042731762E0,1.221027088E1
4.367501610E-1,1.033888608E-1,-2.025627613E0,1.221271420E1
4.391621400E-1,1.986837685E-1,-1.999971271E0,1.221271420E1
4.415740670E-1,2.952004075E-1,-1.962097645E0,1.221271420E1
4.439860460E-1,3.868301213E-1,-1.902232885E0,1.221515751E1
4.463980250E-1,4.809032977E-1,-1.814268351E0,1.221393585E1
4.488099520E-1,5.700895786E-1,-1.703091025E0,1.221271420E1
4.512219320E-1,6.519454122E-1,-1.582139730E0,1.221271420E1
4.536339110E-1,7.252492309E-1,-1.448971272E0,1.220904922E1
4.560458380E-1,7.912226319E-1,-1.308472395E0,1.220660591E1
4.584578170E-1,8.547525406E-1,-1.164308310E0,1.220416164E1
4.608697960E-1,9.121738076E-1,-1.022587657E0,1.220171833E1
4.632817750E-1,9.622647166E-1,-8.881973624E-1,1.219805336E1
4.656937020E-1,1.006247044E0,-7.562506199E-1,1.219683170E1
4.681056820E-1,1.044120669E0,-6.267472506E-1,1.219561005E1
4.705176610E-1,1.073442101E0,-4.911352694E-1,1.219316673E1
4.729295880E-1,1.096655011E0,-3.408625424E-1,1.219316673E1
4.753415670E-1,1.111315727E0,-1.673769504E-1,1.219072342E1
4.777535460E-1,1.117424369E0,3.054323979E-2,1.219194508E1
4.801655250E-1,1.113759160E0,2.296851575E-1,1.218950081E1
4.825774000E-1,1.103985429E0,3.982838392E-1,1.219072342E1
4.849894320E-1,1.084437728E0,5.473348498E-1,1.219072342E1
4.874014110E-1,1.055116177E0,6.976075768E-1,1.219072342E1
4.898133900E-1,1.018464327E0,8.368847370E-1,1.219072342E1
4.922253170E-1,9.720385671E-1,9.602794051E-1,1.219194508E1
4.946372960E-1,9.170607328E-1,1.087339282E0,1.219194508E1
4.970492750E-1,8.535308242E-1,1.218064427E0,1.219072342E1
4.994612020E-1,7.826704979E-1,1.334128737E0,1.219072342E1
5.018731820E-1,7.057015300E-1,1.436753988E0,1.218827915E1
5.042851610E-1,6.238456368E-1,1.521053314E0,1.218705750E1
5.066971400E-1,5.383245945E-1,1.572365999E0,1.218705750E1
5.091090670E-1,4.479165971E-1,1.588248372E0,1.218461418E1
5.115210460E-1,3.550651670E-1,1.573587656E0,1.217972755E1
5.139330250E-1,2.609919906E-1,1.540601015E0,1.217484093E1
5.163449520E-1,1.656970680E-1,1.495396972E0,1.217239666E1
5.187569320E-1,6.918043643E-2,1.440419197E0,1.216751003E1
5.211689110E-1,-2.489273995E-2,1.380554438E0,1.215895844E1
5.235808380E-1,-1.189659163E-1,1.307250619E0,1.215284920E1
5.259928170E-1,-2.093739063E-1,1.216842651E0,1.214551926E1
5.284047960E-1,-2.973384261E-1,1.111773849E0,1.213696671E1
5.308167750E-1,-3.804160357E-1,9.920443892E-1,1.212963676E1
5.332287020E-1,-4.586067200E-1,8.662062287E-1,1.212108421E1
5.356406820E-1,-5.331322551E-1,7.330377102E-1,1.211375427E1
5.380526610E-1,-6.076577306E-1,5.998691916E-1,1.210764503E1
5.404645880E-1,-6.760746241E-1,4.605920315E-1,1.210031509E1
5.428765670E-1,-7.383828163E-1,3.262017965E-1,1.209298420E1
5.452885460E-1,-7.933606505E-1,1.893680841E-1,1.208809757E1
5.477005250E-1,-8.471167088E-1,4.764745384E-2,1.208198929E1
5.501124520E-1,-8.910989761E-1,-1.014035568E-1,1.207588005E1
5.525244320E-1,-9.289726019E-1,-2.528980076E-1,1.207343674E1
5.549364110E-1,-9.607375860E-1,-4.129445851E-1,1.207099342E1
5.573483380E-1,-9.863939285E-1,-5.717694163E-1,1.206855011E1
5.597603170E-1,-1.001054645E0,-7.293725610E-1,1.206732845E1
5.621722960E-1,-1.014493704E0,-8.857539296E-1,1.206855011E1
5.645842750E-1,-1.021824002E0,-1.034804940E0,1.206732845E1
5.669962020E-1,-1.020602345E0,-1.178969026E0,1.206855011E1
5.694081820E-1,-1.015715361E0,-1.324354887E0,1.206732845E1
5.718201610E-1,-9.986112118E-1,-1.461188555E0,1.207099342E1
5.742320880E-1,-9.741765857E-1,-1.587026715E0,1.207588005E1
5.766440670E-1,-9.448550940E-1,-1.692095399E0,1.207832432E1
5.790560460E-1,-9.082031846E-1,-1.780059934E0,1.208198929E1
5.814680250E-1,-8.703296185E-1,-1.860694170E0,1.208687592E1
5.838799520E-1,-8.275690675E-1,-1.925445795E0,1.209054089E1
5.862919320E-1,-7.786998749E-1,-1.958432436E0,1.209298420E1
5.887039110E-1,-7.261655331E-1,-1.959654212E0,1.209298420E1
5.911158380E-1,-6.724094152E-1,-1.943771720E0,1.209542847E1
5.935278170E-1,-6.162098646E-1,-1.912006736E0,1.209665012E1
5.959397960E-1,-5.624537468E-1,-1.881463528E0,1.209542847E1
5.983517750E-1,-5.050324798E-1,-1.839924693E0,1.209420681E1
6.007637020E-1,-4.488328993E-1,-1.771507859E0,1.209420681E1
6.031756820E-1,-3.914116025E-1,-1.684765100E0,1.209420681E1
6.055876610E-1,-3.376555145E-1,-1.591913581E0,1.209176254E1
6.079995880E-1,-2.814559340E-1,-1.495396972E0,1.208809757E1
6.104115670E-1,-2.301433086E-1,-1.385441303E0,1.208443260E1
6.128235460E-1,-1.824958473E-1,-1.262046576E0,1.208198929E1
6.152355250E-1,-1.385135949E-1,-1.131321549E0,1.207954597E1
6.176474520E-1,-9.819651395E-2,-9.908226728E-1,1.207710171E1
6.200594320E-1,-6.154462695E-2,-8.491020203E-1,1.207343674E1
6.224714110E-1,-2.855792828E-2,-7.024945021E-1,1.207221508E1
6.248833380E-1,-1.679878100E-3,-5.534434915E-1,1.206855011E1
6.272953170E-1,2.153298259E-2,-4.056142271E-1,1.206732845E1
6.297072960E-1,3.863719851E-2,-2.553414702E-1,1.206366348E1
6.321192230E-1,5.329795182E-2,-1.001818255E-1,1.206244183E1
6.345312020E-1,6.185005978E-2,5.253437161E-2,1.205877590E1
6.369431820E-1,6.185005978E-2,2.028071135E-1,1.205999756E1
6.393551610E-1,5.574141070E-2,3.518581092E-1,1.205755424E1
6.417670880E-1,4.474584386E-2,4.948004782E-1,1.205755424E1
6.441790670E-1,2.764163166E-2,6.316341758E-1,1.205999756E1
6.465910460E-1,9.315688163E-3,7.709113359E-1,1.205877590E1
6.490029730E-1,-1.389717404E-2,9.028581381E-1,1.205877590E1
6.514149520E-1,-4.566214234E-2,1.020144224E0,1.205877590E1
6.538269320E-1,-8.353576064E-2,1.126434684E0,1.205999756E1
6.562389110E-1,-1.250745654E-1,1.220507860E0,1.205877590E1
6.586508380E-1,-1.641699076E-1,1.292589903E0,1.206121922E1
6.610628170E-1,-2.069304436E-1,1.341459036E0,1.205999756E1
6.634747960E-1,-2.509126961E-1,1.374445796E0,1.205877590E1
6.658867230E-1,-2.985601723E-1,1.392771721E0,1.205999756E1
6.682987020E-1,-3.462076187E-1,1.402545571E0,1.205999756E1
6.707106820E-1,-3.938550651E-1,1.397658587E0,1.205755424E1
6.731226090E-1,-4.427242577E-1,1.374445796E0,1.205633259E1
6.755345880E-1,-4.879282415E-1,1.323133111E0,1.205144596E1
6.779465670E-1,-5.306887627E-1,1.246164203E0,1.204900265E1
6.803585460E-1,-5.710058808E-1,1.152091026E0,1.204411507E1
6.827704730E-1,-6.088794470E-1,1.053130865E0,1.203922844E1
6.851824520E-1,-6.430879235E-1,9.566142559E-1,1.203800678E1
6.875944320E-1,-6.736311316E-1,8.527672291E-1,1.203312016E1
6.900063590E-1,-7.005091906E-1,7.269290686E-1,1.202945423E1
6.924183380E-1,-7.237220407E-1,5.705476999E-1,1.202334595E1
6.948303170E-1,-7.420479655E-1,3.958403766E-1,1.201968098E1
6.972422960E-1,-7.530435324E-1,2.211330533E-1,1.201601601E1
6.996542230E-1,-7.591522336E-1,5.375609919E-2,1.200990677E1
7.020662020E-1,-7.591522336E-1,-1.123991162E-1,1.200746346E1
7.044781820E-1,-7.481566668E-1,-2.871064544E-1,1.200624180E1
7.068901090E-1,-7.347176075E-1,-4.715875983E-1,1.200502014E1
7.093020880E-1,-7.115047574E-1,-6.548470259E-1,1.200379848E1
7.117140670E-1,-6.821832657E-1,-8.356630206E-1,1.200379848E1
7.141260460E-1,-6.430879235E-1,-1.005483389E0,1.200502014E1
7.165379730E-1,-5.966621637E-1,-1.164308310E0,1.200624180E1
7.189499520E-1,-5.429060459E-1,-1.314581037E0,1.200868511E1
7.213619320E-1,-4.842630625E-1,-1.455079913E0,1.201235008E1
7.237738590E-1,-4.219548404E-1,-1.585804939E0,1.201723766E1
7.261858380E-1,-3.547597229E-1,-1.700647593E0,1.202090263E1
7.285978170E-1,-2.826776803E-1,-1.793498993E0,1.202578926E1
7.310097960E-1,-2.069304436E-1,-1.868024468E0,1.203067684E1
7.334217230E-1,-1.275180280E-1,-1.930332661E0,1.203434181E1
7.358337020E-1,-4.077522457E-2,-1.981645346E0,1.203800678E1
7.382456820E-1,4.474584386E-2,-2.023184061E0,1.204045010E1
7.406576090E-1,1.339320987E-1,-2.051283836E0,1.204289341E1
7.430695880E-1,2.182314396E-1,-2.062279463E0,1.204655933E1
7.454815670E-1,3.074176908E-1,-2.059836149E0,1.204778099E1
7.478935460E-1,3.941605091E-1,-2.035401344E0,1.204778099E1
7.503054730E-1,4.772381186E-1,-1.991419196E0,1.204533672E1
7.527174520E-1,5.566505194E-1,-1.929111004E0,1.204533672E1
7.551294320E-1,6.336194873E-1,-1.839924693E0,1.204289341E1
7.575413590E-1,7.032580972E-1,-1.723860383E0,1.204045010E1
7.599533380E-1,7.667880058E-1,-1.591913581E0,1.203800678E1
7.623653170E-1,8.242093325E-1,-1.453858137E0,1.203434181E1
7.647772960E-1,8.804088831E-1,-1.307250619E0,1.203067684E1
7.671892230E-1,9.268345833E-1,-1.150869250E0,1.202578926E1
7.696012020E-1,9.671516418E-1,-9.908226728E-1,1.201968098E1
7.720131820E-1,1.000138402E0,-8.185588121E-1,1.201601601E1
7.744251090E-1,1.023351192E0,-6.352993846E-1,1.201112843E1
7.768370880E-1,1.033125043E0,-4.447095692E-1,1.200746346E1
7.792490670E-1,1.034346819E0,-2.431241870E-1,1.200379848E1
7.816610460E-1,1.028238177E0,-4.642572254E-2,1.200135517E1
7.840729730E-1,1.013577342E0,1.209512278E-1,1.200013351E1
7.864849520E-1,9.891427755E-1,2.602283955E-1,1.199891186E1
7.888969320E-1,9.561560750E-1,3.958403766E-1,1.200013351E1
7.913088590E-1,9.158390164E-1,5.375609994E-1,1.200013351E1
7.937208380E-1,8.718567491E-1,6.878337264E-1,1.200013351E1
7.961328170E-1,8.168789148E-1,8.381064534E-1,1.200013351E1
7.985446920E-1,7.570141554E-1,9.896009564E-1,1.200013351E1
8.009567230E-1,6.885973215E-1,1.125212908E0,1.200013351E1
8.033687020E-1,6.104066372E-1,1.240055561E0,1.200257683E1
8.057806820E-1,5.273290277E-1,1.339015603E0,1.199891186E1
8.081926090E-1,4.381427765E-1,1.424536705E0,1.199891186E1
8.106045880E-1,3.452913165E-1,1.494175196E0,1.199768925E1
8.130165670E-1,2.512181401E-1,1.554039955E0,1.199524593E1
8.154284940E-1,1.534797698E-1,1.609017849E0,1.199280262E1
8.178404730E-1,5.085449293E-2,1.650556684E0,1.198913765E1
8.202524520E-1,-5.543597788E-2,1.676212907E0,1.198547268E1
8.226644320E-1,-1.629481763E-1,1.682321548E0,1.198058510E1
8.250763590E-1,-2.716821134E-1,1.659108758E0,1.197447681E1
8.274883380E-1,-3.853029609E-1,1.607796073E0,1.196714687E1
8.299003170E-1,-4.977020919E-1,1.525940180E0,1.195859432E1
8.323122440E-1,-6.076577306E-1,1.424536705E0,1.195126438E1
8.347242230E-1,-7.139481902E-1,1.317024469E0,1.194393349E1
8.371362020E-1,-8.177952170E-1,1.197294950E0,1.193538189E1
8.395481290E-1,-9.118683934E-1,1.069013357E0,1.192560768E1
8.419601090E-1,-9.961677194E-1,9.272927642E-1,1.192072105E1
8.443720880E-1,-1.075580120E0,7.721330523E-1,1.191094685E1
