"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.322662020E-1,-2.167897224E0,-1.009771156E1,9.255437851E0
2.346781820E-1,-2.177468538E0,-1.003071213E1,9.178867340E0
2.370901610E-1,-2.210968018E0,-9.973284721E0,9.135796547E0
2.395020360E-1,-2.239681959E0,-9.901499748E0,9.150154114E0
2.419140670E-1,-2.258824587E0,-9.820143700E0,9.178867340E0
2.443260460E-1,-2.287538528E0,-9.753145218E0,9.193224907E0
2.467380250E-1,-2.340180635E0,-9.638289452E0,9.193224907E0
2.491499520E-1,-2.383251429E0,-9.533005714E0,9.202795982E0
2.515619320E-1,-2.402393818E0,-9.375079155E0,9.231510162E0
2.539739110E-1,-2.397608280E0,-9.241081238E0,9.284152031E0
2.563858380E-1,-2.364108801E0,-9.116654396E0,9.298508644E0
2.587978170E-1,-2.330609322E0,-8.920442581E0,9.288937569E0
2.612097960E-1,-2.378465652E0,-8.666803360E0,9.346364975E0
2.636217750E-1,-2.459821701E0,-8.595019341E0,9.360722542E0
2.660337020E-1,-2.383251429E0,-8.642875671E0,9.351150513E0
2.684456820E-1,-2.062613010E0,-8.681160927E0,9.437292099E0
2.708576610E-1,-1.646261930E0,-8.604590416E0,9.604789734E0
2.732695880E-1,-1.406979680E0,-8.413164139E0,9.743574142E0
2.756815670E-1,-1.292124271E0,-8.317451477E0,9.791430473E0
2.780935460E-1,-1.162911773E0,-8.307880402E0,9.767501831E0
2.805054730E-1,-1.105484009E0,-8.322237015E0,9.705288887E0
2.829174520E-1,-1.048056364E0,-8.202595711E0,9.743574142E0
2.853294320E-1,-1.000199914E0,-8.140382767E0,9.805787086E0
2.877414110E-1,-8.279166222E-1,-8.140382767E0,9.810572624E0
2.901533380E-1,-6.364908218E-1,-8.207381248E0,9.729216576E0
2.925653170E-1,-5.694918036E-1,-8.250452042E0,9.643074989E0
2.949772960E-1,-5.216353536E-1,-8.279166222E0,9.576076508E0
2.973892230E-1,-5.264210105E-1,-8.322237015E0,9.475577354E0
2.998012020E-1,-5.742774606E-1,-8.154739380E0,9.466006279E0
3.022131820E-1,-5.647061467E-1,-8.020741463E0,9.499505997E0
3.046251610E-1,-4.929214716E-1,-8.149953842E0,9.389435768E0
3.070370880E-1,-4.785645306E-1,-8.312665939E0,9.164510727E0
3.094490670E-1,-4.259224236E-1,-8.489734650E0,8.944371223E0
3.118610460E-1,-3.924229145E-1,-8.566305161E0,8.786444664E0
3.142730250E-1,-3.684946895E-1,-8.618947029E0,8.776873589E0
3.166849520E-1,-2.823530734E-1,-8.729017258E0,8.786444664E0
3.190969320E-1,-2.632105052E-1,-8.891729355E0,8.781659126E0
3.215089110E-1,-2.727817893E-1,-9.145368576E0,8.729017258E0
3.239208380E-1,-2.679961324E-1,-9.308079720E0,8.733802795E0
3.263328170E-1,-2.967100143E-1,-9.475577354E0,8.724231720E0
3.287447960E-1,-2.153540403E-1,-9.662218094E0,8.829515457E0
3.311567230E-1,-1.052841991E-1,-9.829715729E0,8.944371223E0
3.335687020E-1,-7.657032460E-2,-9.934999466E0,9.011369705E0
3.359806820E-1,-1.531406492E-1,-1.001635551E1,8.973084450E0
3.383926610E-1,-2.057827413E-1,-1.004506969E1,8.953942299E0
3.408045880E-1,-1.962114573E-1,-1.014078236E1,9.016156197E0
3.432165670E-1,-2.679961324E-1,-1.023170948E1,9.159725189E0
3.456285460E-1,-4.067798555E-1,-1.023649502E1,9.293723106E0
3.480404730E-1,-4.546363056E-1,-1.029392338E1,9.303294182E0
3.504524520E-1,-4.737788737E-1,-1.041356373E1,9.322437286E0
3.528644320E-1,-5.886343718E-1,-1.057149029E1,9.418149948E0
3.552764110E-1,-7.657032609E-1,-1.067677498E1,9.556933403E0
3.576883380E-1,-9.044869542E-1,-1.074855900E1,9.633503914E0
3.601003170E-1,-1.048056364E0,-1.094477081E1,9.619147301E0
3.625122960E-1,-1.062413216E0,-1.098784161E1,9.690931320E0
3.649242230E-1,-1.009771109E0,-1.091605663E1,9.858428955E0
3.673362020E-1,-1.000199914E0,-1.077248764E1,9.949356079E0
3.697481820E-1,-1.000199914E0,-1.070070267E1,9.997213364E0
3.721601610E-1,-9.810572863E-1,-1.074377346E1,1.007378292E1
3.745720880E-1,-1.024128079E0,-1.077727318E1,1.009292603E1
3.769840670E-1,-1.105484009E0,-1.084427261E1,1.008335495E1
3.793960460E-1,-1.158126116E0,-1.091127110E1,1.007378292E1
3.818080250E-1,-1.196411371E0,-1.095434189E1,1.011685371E1
3.842199520E-1,-1.272981644E0,-1.091127110E1,1.017428207E1
3.866319320E-1,-1.316052437E0,-1.083470058E1,1.019820976E1
3.890439110E-1,-1.363908887E0,-1.078205872E1,1.022692394E1
3.914558380E-1,-1.459621787E0,-1.076770210E1,1.024128056E1
3.938678170E-1,-1.478764415E0,-1.075334454E1,1.022692394E1
3.962797960E-1,-1.469193101E0,-1.070070267E1,1.024128056E1
3.986917230E-1,-1.488335729E0,-1.060977554E1,1.027956581E1
4.011037020E-1,-1.536192179E0,-1.048534870E1,1.036570740E1
4.035156820E-1,-1.550549030E0,-1.027478027E1,1.048056316E1
4.059276610E-1,-1.526620865E0,-1.001635551E1,1.062891865E1
4.083395880E-1,-1.497906923E0,-9.820143700E0,1.079641533E1
4.107515670E-1,-1.421336651E0,-9.619147301E0,1.093998528E1
4.131635460E-1,-1.287338614E0,-9.327222824E0,1.107876873E1
4.155754730E-1,-1.244267821E0,-9.083154678E0,1.122233772E1
4.179874520E-1,-1.301695466E0,-8.920442581E0,1.136112213E1
4.203994320E-1,-1.445264935E0,-8.839086533E0,1.142333508E1
4.228114110E-1,-1.564906001E0,-8.805587769E0,1.136590767E1
4.252233380E-1,-1.550549030E0,-8.819944382E0,1.127019501E1
4.276353170E-1,-1.512263894E0,-8.843872070E0,1.118405342E1
4.300472960E-1,-1.588834286E0,-8.829515457E0,1.116012478E1
4.324592230E-1,-1.631905079E0,-8.834300995E0,1.115055370E1
4.348712020E-1,-1.564906001E0,-8.848658562E0,1.111705399E1
4.372831820E-1,-1.488335729E0,-8.867800713E0,1.102134132E1
4.396951610E-1,-1.430907965E0,-8.843872070E0,1.096869946E1
4.421070880E-1,-1.454836130E0,-8.733802795E0,1.097348499E1
4.445190670E-1,-1.488335729E0,-8.662017822E0,1.096869946E1
4.469310460E-1,-1.526620865E0,-8.604590416E0,1.096869946E1
4.493429730E-1,-1.478764415E0,-8.618947029E0,1.087777138E1
4.517549520E-1,-1.440479279E0,-8.642875671E0,1.060977554E1
4.541669320E-1,-1.445264935E0,-8.638090134E0,1.033699417E1
4.565788590E-1,-1.387837172E0,-8.709874153E0,1.015035343E1
4.589908380E-1,-1.320838094E0,-8.752944946E0,1.016471100E1
4.614028170E-1,-1.153340459E0,-8.819944382E0,1.019342422E1
4.638147960E-1,-9.906286001E-1,-8.930013657E0,1.019820976E1
4.662267230E-1,-8.614161611E-1,-9.145368576E0,1.013599682E1
4.686387020E-1,-8.374879360E-1,-9.260223389E0,1.004028416E1
4.710506820E-1,-9.332008362E-1,-9.332008362E0,9.934999466E0
4.734626090E-1,-1.196411371E0,-9.394221306E0,9.757930756E0
4.758745880E-1,-1.564906001E0,-9.413364410E0,9.576076508E0
4.782865670E-1,-1.775474429E0,-9.408578873E0,9.485149384E0
4.806985460E-1,-1.564906001E0,-9.461220741E0,9.451649666E0
4.831104210E-1,-1.306481123E0,-9.580862045E0,9.418149948E0
4.855224520E-1,-1.330409408E0,-9.705288887E0,9.336793900E0
4.879344320E-1,-1.378265858E0,-9.810572624E0,9.336793900E0
4.903464110E-1,-1.344766378E0,-9.915857315E0,9.394221306E0
4.927583380E-1,-1.483550072E0,-1.003549862E1,9.355937004E0
4.951703170E-1,-1.741974831E0,-1.009771156E1,9.217152596E0
4.975822960E-1,-1.880758643E0,-1.007856941E1,9.059226990E0
4.999942230E-1,-1.942971945E0,-1.006421185E1,8.949156761E0
5.024062020E-1,-1.933400750E0,-1.006899738E1,8.910871506E0
5.048181820E-1,-1.832902193E0,-1.014078236E1,8.939585686E0
5.072301610E-1,-1.741974831E0,-1.019820976E1,9.025727272E0
5.096420880E-1,-1.655833244E0,-1.024606609E1,9.145368576E0
5.120540670E-1,-1.603191137E0,-1.029870892E1,9.207581520E0
5.144660460E-1,-1.646261930E0,-1.035135078E1,9.092725754E0
5.168779730E-1,-1.718046665E0,-1.032742214E1,8.958727837E0
5.192899520E-1,-1.852044702E0,-1.031306553E1,8.819944382E0
5.217019320E-1,-1.957328916E0,-1.038963604E1,8.724231720E0
5.241138590E-1,-1.990828395E0,-1.027478027E1,8.776873589E0
5.265258380E-1,-2.005185366E0,-1.013599682E1,8.858229637E0
5.289378170E-1,-1.971685886E0,-1.000678444E1,8.863015175E0
5.313497960E-1,-1.962114573E0,-9.973284721E0,8.810373306E0
5.337617230E-1,-1.952543259E0,-9.954142570E0,8.776873589E0
5.361737020E-1,-1.995614052E0,-9.930213928E0,8.776873589E0
5.385856820E-1,-2.062613010E0,-9.853643417E0,8.781659126E0
5.409976090E-1,-2.124826431E0,-9.805787086E0,8.767302513E0
5.434095880E-1,-2.153540373E0,-9.734002113E0,8.781659126E0
5.458215670E-1,-2.129612207E0,-9.667003632E0,8.810373306E0
5.482335460E-1,-2.086541414E0,-9.533005714E0,8.886942863E0
5.506454730E-1,-2.033899307E0,-9.408578873E0,8.982656479E0
5.530574520E-1,-1.928615093E0,-9.260223389E0,9.092725754E0
5.554694320E-1,-1.880758643E0,-9.121439934E0,9.178867340E0
5.578813590E-1,-1.823330879E0,-8.997013092E0,9.231510162E0
5.602933380E-1,-1.770688772E0,-8.896514893E0,9.269794464E0
5.627053170E-1,-1.718046665E0,-8.858229637E0,9.312865257E0
5.651172960E-1,-1.646261930E0,-8.843872070E0,9.379864693E0
5.675292230E-1,-1.540977836E0,-8.786444664E0,9.528220177E0
5.699412020E-1,-1.378265858E0,-8.556734085E0,9.729216576E0
