t (s),w (rpm)
0,3495
10,3289
20,3192
30,3076
40,2948
50,2828
60,2753
70,2617
80,2518
90,2408
100,2321
110,2227
120,2127
130,2045
140,1969
150,1873
160,1786
170,1773
180,1642
190,1578
200,1496
210,1435
220,1362
230,1305
240,1242
