"event","experiment time","system time","system time text"
"START",0.000000000E0,1761391188.848,"2025-10-25 13:19:48.848 UTC+02:00"
"PAUSE",4.147336983E1,1761391230.321,"2025-10-25 13:20:30.321 UTC+02:00"
